trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.thisTrial,imagename,correct,Difference,touch_delay,lick_delay,orientation,correctstim,last_choice,date,frameRate,expName,session,participant,
0,0,0,0,None,0.38,1,90,1.97762872097,6.51593261155,90,left,left,2019_Feb_22_1538,59.9963628868,untitled.py,001,1218,
1,0,1,0,None,0.38,1,90,4.35893863606,6.88009509589,90,left,left,2019_Feb_22_1538,59.9963628868,untitled.py,001,1218,
2,0,2,0,None,0.38,0,90,5.27997105777,10.7453363486,45,right,left,2019_Feb_22_1538,59.9963628868,untitled.py,001,1218,
3,0,3,0,None,0.38,1,90,2.42535322227,6.2593058615,45,right,right,2019_Feb_22_1538,59.9963628868,untitled.py,001,1218,
4,0,4,0,None,0.38,1,90,10.7932206468,13.6631650112,45,left,left,2019_Feb_22_1538,59.9963628868,untitled.py,001,1218,
5,0,5,0,None,0.38,1,90,4.21006748064,7.7065026421,45,left,left,2019_Feb_22_1538,59.9963628868,untitled.py,001,1218,
6,0,6,0,None,0.38,1,90,7.57002859302,9.24587175186,90,right,right,2019_Feb_22_1538,59.9963628868,untitled.py,001,1218,
7,0,7,0,None,0.38,0,90,3.54255918001,13.9946023866,45,left,right,2019_Feb_22_1538,59.9963628868,untitled.py,001,1218,
8,0,8,0,None,0.38,1,90,5.42102585664,8.04372511031,45,left,left,2019_Feb_22_1538,59.9963628868,untitled.py,001,1218,
9,0,9,0,None,0.38,1,90,3.47332384423,6.72669040339,45,left,left,2019_Feb_22_1538,59.9963628868,untitled.py,001,1218,
10,0,10,0,None,0.38,1,90,7.85191637485,11.3325727152,45,left,left,2019_Feb_22_1538,59.9963628868,untitled.py,001,1218,
11,0,11,0,None,0.38,0,90,3.58087801662,12.1120857539,45,right,left,2019_Feb_22_1538,59.9963628868,untitled.py,001,1218,
12,0,12,0,None,0.38,1,90,2.31597507504,4.71257967144,45,right,right,2019_Feb_22_1538,59.9963628868,untitled.py,001,1218,
13,0,13,0,None,0.38,1,90,2.8303451975,5.7077687248,90,right,right,2019_Feb_22_1538,59.9963628868,untitled.py,001,1218,
14,0,14,0,None,0.38,1,90,4.62051489784,8.62479225712,90,right,right,2019_Feb_22_1538,59.9963628868,untitled.py,001,1218,
