trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.thisTrial,imagename,correct,Difference,touch_delay,lick_delay,orientation,correctstim,last_choice,date,frameRate,expName,session,participant,
0,0,0,0,None,0.38,1,90,18.0353067219,24.5108626932,90,left,left,2019_Feb_08_1453,59.9952564414,untitled.py,001,1218,
1,0,1,0,None,0.38,1,90,15.827844318,22.3204630725,45,right,right,2019_Feb_08_1453,59.9952564414,untitled.py,001,1218,
2,0,2,0,None,0.38,0,90,5.46441740543,12.8489224166,90,right,left,2019_Feb_08_1453,59.9952564414,untitled.py,001,1218,
3,0,3,0,None,0.38,0,90,2.20180134475,11.4604724906,45,left,right,2019_Feb_08_1453,59.9952564414,untitled.py,001,1218,
4,0,4,0,None,0.38,0,90,4.71037939191,8.21586765721,45,right,left,2019_Feb_08_1453,59.9952564414,untitled.py,001,1218,
5,0,5,0,None,0.38,0,90,5.10316785797,10.2009230219,45,left,right,2019_Feb_08_1453,59.9952564414,untitled.py,001,1218,
6,0,6,0,None,0.38,1,90,5.18296655267,15.3712281883,90,left,left,2019_Feb_08_1453,59.9952564414,untitled.py,001,1218,
7,0,7,0,None,0.38,0,90,6.92108717933,19.2664092779,90,left,right,2019_Feb_08_1453,59.9952564414,untitled.py,001,1218,
8,0,8,0,None,0.38,1,90,7.63703012466,16.42338733,90,right,right,2019_Feb_08_1453,59.9952564414,untitled.py,001,1218,
9,0,9,0,None,0.38,1,90,6.14241558686,12.2623864189,90,right,right,2019_Feb_08_1453,59.9952564414,untitled.py,001,1218,
10,0,10,0,None,0.38,1,90,5.21418644115,11.6792117432,90,right,right,2019_Feb_08_1453,59.9952564414,untitled.py,001,1218,
11,0,11,0,None,0.38,0,90,13.1902093701,19.2687062211,45,right,left,2019_Feb_08_1453,59.9952564414,untitled.py,001,1218,
12,0,12,0,None,0.38,0,90,8.74998190999,14.9642205909,45,right,left,2019_Feb_08_1453,59.9952564414,untitled.py,001,1218,
13,0,13,0,None,0.38,0,90,1.78258186579,8.07837895676,45,left,right,2019_Feb_08_1453,59.9952564414,untitled.py,001,1218,
14,0,14,0,None,0.38,1,90,10.4219296016,17.3953949437,90,right,right,2019_Feb_08_1453,59.9952564414,untitled.py,001,1218,
15,0,15,0,None,0.38,0,90,7.76450610161,13.3898179792,90,left,right,2019_Feb_08_1453,59.9952564414,untitled.py,001,1218,
16,0,16,0,None,0.38,1,90,6.35056131333,13.9236240946,45,left,left,2019_Feb_08_1453,59.9952564414,untitled.py,001,1218,
17,0,17,0,None,0.38,0,90,9.35768819973,22.8711434007,45,left,right,2019_Feb_08_1453,59.9952564414,untitled.py,001,1218,
18,0,18,0,None,0.38,1,90,2.01219009608,11.8968120255,90,left,left,2019_Feb_08_1453,59.9952564414,untitled.py,001,1218,
19,0,19,0,None,0.38,1,90,10.151087638,18.5246722698,45,left,left,2019_Feb_08_1453,59.9952564414,untitled.py,001,1218,
20,0,20,0,None,0.38,1,90,12.0275565721,17.8458200693,90,left,left,2019_Feb_08_1453,59.9952564414,untitled.py,001,1218,
21,0,21,0,None,0.38,1,90,5.7849480845,14.6024028175,45,right,right,2019_Feb_08_1453,59.9952564414,untitled.py,001,1218,
22,0,22,0,None,0.38,0,90,15.4608124793,20.8310318775,45,right,left,2019_Feb_08_1453,59.9952564414,untitled.py,001,1218,
23,0,23,0,None,0.38,0,90,3.48974296823,85.4502644874,90,right,left,2019_Feb_08_1453,59.9952564414,untitled.py,001,1218,
24,0,24,0,None,0.38,1,90,5.37439311668,14.2215178199,90,left,left,2019_Feb_08_1453,59.9952564414,untitled.py,001,1218,
25,0,25,0,None,0.38,1,90,25.3125975505,32.7384935804,45,right,right,2019_Feb_08_1453,59.9952564414,untitled.py,001,1218,
26,0,26,0,None,0.38,0,90,6.74527433142,20.4573681839,45,right,left,2019_Feb_08_1453,59.9952564414,untitled.py,001,1218,
27,0,27,0,None,0.38,0,90,19.2363599278,31.8911403529,45,right,left,2019_Feb_08_1453,59.9952564414,untitled.py,001,1218,
28,0,28,0,None,0.38,0,90,16.5479704812,21.3664571904,90,right,left,2019_Feb_08_1453,59.9952564414,untitled.py,001,1218,
29,0,29,0,None,0.38,0,90,9.60444023088,28.5148003474,90,right,left,2019_Feb_08_1453,59.9952564414,untitled.py,001,1218,
30,0,30,0,None,0.38,0,90,8.35823379457,11.1379359663,45,right,left,2019_Feb_08_1453,59.9952564414,untitled.py,001,1218,
31,0,31,0,None,0.38,1,90,26.9646695331,33.8689663075,90,right,right,2019_Feb_08_1453,59.9952564414,untitled.py,001,1218,
32,0,32,0,None,0.38,0,90,9.48169948906,41.2891758606,90,right,left,2019_Feb_08_1453,59.9952564414,untitled.py,001,1218,
33,0,33,0,None,0.38,1,90,4.08774215728,9.53427824005,45,right,right,2019_Feb_08_1453,59.9952564414,untitled.py,001,1218,
34,0,34,0,None,0.38,1,90,18.9154554568,24.5090197213,90,right,right,2019_Feb_08_1453,59.9952564414,untitled.py,001,1218,
35,0,35,0,None,0.38,0,90,22.8084222972,43.8687590174,90,right,left,2019_Feb_08_1453,59.9952564414,untitled.py,001,1218,
36,0,36,0,None,0.38,0,90,17.80029976,32.2106709071,90,right,left,2019_Feb_08_1453,59.9952564414,untitled.py,001,1218,
37,0,37,0,None,0.38,1,90,4.49303165451,10.5672544949,90,right,right,2019_Feb_08_1453,59.9952564414,untitled.py,001,1218,
38,0,38,0,None,0.38,0,90,8.19043900818,40.0887995549,45,right,left,2019_Feb_08_1453,59.9952564414,untitled.py,001,1218,
39,0,39,0,None,0.38,1,90,36.4726776741,40.9789970517,45,right,right,2019_Feb_08_1453,59.9952564414,untitled.py,001,1218,
40,0,40,0,None,0.38,1,90,8.2220614627,15.4394164607,90,right,right,2019_Feb_08_1453,59.9952564414,untitled.py,001,1218,
