trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,imagename,correct,Difference,touch_delay,lick_delay,orientation,correctstim,last_choice,date,frameRate,expName,session,participant,
46,0,46,0,0.38,0,90,7.50554917008,9.93153822422,90,right,left,2019_Feb_07_1108,59.9995811313,untitled.py,001,1218,
47,0,47,0,0.38,0,90,12.7869223617,22.1386681832,90,right,left,2019_Feb_07_1108,59.9995811313,untitled.py,001,1218,
48,0,48,0,0.38,1,90,9.06057697535,14.8119403459,45,left,left,2019_Feb_07_1108,59.9995811313,untitled.py,001,1218,
49,0,49,0,0.38,1,90,12.6985851564,19.0022053085,45,right,right,2019_Feb_07_1108,59.9995811313,untitled.py,001,1218,
50,0,50,0,0.38,0,90,10.859690547,15.8635477424,90,left,right,2019_Feb_07_1108,59.9995811313,untitled.py,001,1218,
51,0,51,0,0.38,1,90,5.67260503769,12.089025002,90,left,left,2019_Feb_07_1108,59.9995811313,untitled.py,001,1218,
52,0,52,0,0.38,0,90,9.83867642283,12.6253571324,90,right,left,2019_Feb_07_1108,59.9995811313,untitled.py,001,1218,
53,0,53,0,0.38,0,90,3.28280046955,7.80298613384,90,left,right,2019_Feb_07_1108,59.9995811313,untitled.py,001,1218,
54,0,54,0,0.38,0,90,8.48872217163,12.8606694415,45,right,left,2019_Feb_07_1108,59.9995811313,untitled.py,001,1218,
55,0,55,0,0.38,0,90,3.47419127077,5.92142716423,45,right,left,2019_Feb_07_1108,59.9995811313,untitled.py,001,1218,
56,0,56,0,0.38,0,90,2.37929625064,7.72203562036,45,right,left,2019_Feb_07_1108,59.9995811313,untitled.py,001,1218,
57,0,57,0,0.38,0,90,3.74903598055,12.2526837923,90,right,left,2019_Feb_07_1108,59.9995811313,untitled.py,001,1218,
58,0,58,0,0.38,0,90,2.42266461253,5.07792023942,90,right,left,2019_Feb_07_1108,59.9995811313,untitled.py,001,1218,
59,0,59,0,0.38,1,90,4.76556908712,14.1620865203,90,right,right,2019_Feb_07_1108,59.9995811313,untitled.py,001,1218,
60,0,60,0,0.38,0,90,11.4334414005,15.9817166701,45,right,left,2019_Feb_07_1108,59.9995811313,untitled.py,001,1218,
61,0,61,0,0.38,0,90,20.0451222174,24.0391882211,90,right,left,2019_Feb_07_1108,59.9995811313,untitled.py,001,1218,
62,0,62,0,0.38,1,90,5.33693807572,11.8531693295,45,right,right,2019_Feb_07_1108,59.9995811313,untitled.py,001,1218,
63,0,63,0,0.38,1,90,15.5039989688,24.6921533309,45,right,right,2019_Feb_07_1108,59.9995811313,untitled.py,001,1218,
64,0,64,0,0.38,0,90,7.01883004606,10.694634933,45,right,left,2019_Feb_07_1108,59.9995811313,untitled.py,001,1218,
65,0,65,0,0.38,1,90,5.30339833722,18.6691979021,45,right,right,2019_Feb_07_1108,59.9995811313,untitled.py,001,1218,
66,0,66,0,0.38,0,90,26.453841202,30.7967691422,45,right,left,2019_Feb_07_1108,59.9995811313,untitled.py,001,1218,
67,0,67,0,0.38,1,90,3.28782652691,11.4556878023,90,right,right,2019_Feb_07_1108,59.9995811313,untitled.py,001,1218,
68,0,68,0,0.38,1,90,9.85673374683,17.1940140426,45,left,left,2019_Feb_07_1108,59.9995811313,untitled.py,001,1218,
69,0,69,0,0.38,0,90,9.82759401202,20.3891176134,45,left,right,2019_Feb_07_1108,59.9995811313,untitled.py,001,1218,
70,0,70,0,0.38,0,90,1.51383681595,13.9405469149,45,right,left,2019_Feb_07_1108,59.9995811313,untitled.py,001,1218,
71,0,71,0,0.38,1,90,15.935283117,26.3791632727,90,left,left,2019_Feb_07_1108,59.9995811313,untitled.py,001,1218,
72,0,72,0,0.38,1,90,15.6695756018,25.1549107507,90,left,left,2019_Feb_07_1108,59.9995811313,untitled.py,001,1218,
73,0,73,0,0.38,1,90,10.306418553,16.4219268113,45,left,left,2019_Feb_07_1108,59.9995811313,untitled.py,001,1218,
74,0,74,0,0.38,1,90,24.4258823395,31.2676477022,45,left,left,2019_Feb_07_1108,59.9995811313,untitled.py,001,1218,
75,0,75,0,0.38,1,90,11.7939168252,18.0042390861,45,left,left,2019_Feb_07_1108,59.9995811313,untitled.py,001,1218,
76,0,76,0,0.38,0,90,9.8349474594,29.8515719175,90,right,left,2019_Feb_07_1108,59.9995811313,untitled.py,001,1218,
77,0,77,0,0.38,0,90,3.37900515646,8.62819632143,45,right,left,2019_Feb_07_1108,59.9995811313,untitled.py,001,1218,
78,0,78,0,0.38,1,90,17.978855975,27.4000209533,45,right,right,2019_Feb_07_1108,59.9995811313,untitled.py,001,1218,
79,0,79,0,0.38,0,90,10.862100631,31.0740613677,90,right,left,2019_Feb_07_1108,59.9995811313,untitled.py,001,1218,
80,0,80,0,0.38,1,90,9.15107981861,18.6105608419,45,right,right,2019_Feb_07_1108,59.9995811313,untitled.py,001,1218,
81,0,81,0,0.38,0,90,105.272412833,125.963064577,90,right,left,2019_Feb_07_1108,59.9995811313,untitled.py,001,1218,
82,0,82,0,0.38,1,90,5.33616311848,16.9713424481,90,right,right,2019_Feb_07_1108,59.9995811313,untitled.py,001,1218,
83,0,83,0,0.38,0,90,8.95764182135,31.8964711986,90,right,left,2019_Feb_07_1108,59.9995811313,untitled.py,001,1218,
84,0,84,0,0.38,0,90,3.10421967134,12.861565087,45,right,left,2019_Feb_07_1108,59.9995811313,untitled.py,001,1218,
85,0,85,0,0.38,0,90,2.39399029687,18.4348278902,90,right,left,2019_Feb_07_1108,59.9995811313,untitled.py,001,1218,
86,0,86,0,0.38,0,90,11.1879222058,18.3411145806,45,right,left,2019_Feb_07_1108,59.9995811313,untitled.py,001,1218,
87,0,87,0,0.38,0,90,2.84511104226,19.8187300339,90,right,left,2019_Feb_07_1108,59.9995811313,untitled.py,001,1218,
88,0,88,0,0.38,1,90,5.98397785053,11.6214493737,45,right,right,2019_Feb_07_1108,59.9995811313,untitled.py,001,1218,
89,0,89,0,0.38,0,90,18.1753689349,42.1539502926,90,right,left,2019_Feb_07_1108,59.9995811313,untitled.py,001,1218,
90,0,90,0,0.38,1,90,19.9015539698,25.9351939969,90,right,right,2019_Feb_07_1108,59.9995811313,untitled.py,001,1218,
91,0,91,0,0.38,0,90,21.3177845217,30.2278920896,90,right,left,2019_Feb_07_1108,59.9995811313,untitled.py,001,1218,
92,0,92,0,0.38,0,90,10.9209729172,22.8989385553,45,right,left,2019_Feb_07_1108,59.9995811313,untitled.py,001,1218,
93,0,93,0,0.38,0,90,5.84300295264,27.3480263576,45,right,left,2019_Feb_07_1108,59.9995811313,untitled.py,001,1218,
94,0,94,0,0.38,1,90,9.71664275974,18.0831477195,90,right,right,2019_Feb_07_1108,59.9995811313,untitled.py,001,1218,
95,0,95,0,0.38,0,90,9.78694051877,17.4661723748,45,right,left,2019_Feb_07_1108,59.9995811313,untitled.py,001,1218,
96,0,96,0,0.38,1,90,10.5025035292,30.3714868799,90,right,right,2019_Feb_07_1108,59.9995811313,untitled.py,001,1218,
97,0,97,0,0.38,0,90,9.65345092863,38.8345929421,45,right,left,2019_Feb_07_1108,59.9995811313,untitled.py,001,1218,
98,0,98,0,0.38,1,90,10.9410774261,23.265835464,90,left,left,2019_Feb_07_1108,59.9995811313,untitled.py,001,1218,
99,0,99,0,0.38,1,90,55.3159781471,64.2546597384,90,left,left,2019_Feb_07_1108,59.9995811313,untitled.py,001,1218,
