trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.thisTrial,imagename,correct,Difference,touch_delay,lick_delay,orientation,correctstim,last_choice,date,frameRate,expName,session,participant,
0,0,0,0,None,0.38,1,37,12.6956096375,14.9420320187,90,left,left,2018_Jun_26_1158,59.8852498966,untitled.py,001,293,
1,0,1,0,None,0.38,1,34,2.92626297474,4.63866971899,90,left,left,2018_Jun_26_1158,59.8852498966,untitled.py,001,293,
2,0,2,0,None,0.38,0,34,5.06511693541,14.254685442,90,left,right,2018_Jun_26_1158,59.8852498966,untitled.py,001,293,
3,0,3,0,None,0.38,1,34,1.9411958782,4.02355858125,90,left,left,2018_Jun_26_1158,59.8852498966,untitled.py,001,293,
4,0,4,0,None,0.38,1,36,1.78572416306,5.62734872662,90,left,left,2018_Jun_26_1158,59.8852498966,untitled.py,001,293,
5,0,5,0,None,0.38,1,33,4.93382343277,6.5491658859,90,left,left,2018_Jun_26_1158,59.8852498966,untitled.py,001,293,
6,0,6,0,None,0.38,1,33,7.23563665152,8.88709235378,90,left,left,2018_Jun_26_1158,59.8852498966,untitled.py,001,293,
7,0,7,0,None,0.38,1,27,4.19475296419,5.78510481119,90,left,left,2018_Jun_26_1158,59.8852498966,untitled.py,001,293,
8,0,8,0,None,0.38,0,24,4.03100170568,8.37268339936,90,right,left,2018_Jun_26_1158,59.8852498966,untitled.py,001,293,
9,0,9,0,None,0.38,1,24,4.99914430454,6.58244804852,90,right,right,2018_Jun_26_1158,59.8852498966,untitled.py,001,293,
10,0,10,0,None,0.38,0,24,5.22348678391,9.26701103058,90,right,left,2018_Jun_26_1158,59.8852498966,untitled.py,001,293,
11,0,11,0,None,0.38,1,37,4.55499120709,6.01399144251,90,right,right,2018_Jun_26_1158,59.8852498966,untitled.py,001,293,
12,0,12,0,None,0.38,0,34,6.44122451264,14.4181104023,90,right,left,2018_Jun_26_1158,59.8852498966,untitled.py,001,293,
13,0,13,0,None,0.38,1,42,4.74631468579,6.11968029477,90,right,right,2018_Jun_26_1158,59.8852498966,untitled.py,001,293,
14,0,14,0,None,0.38,0,39,5.16366549302,11.0095009282,90,right,left,2018_Jun_26_1158,59.8852498966,untitled.py,001,293,
15,0,15,0,None,0.38,1,47,3.02803065814,5.11415417306,90,right,right,2018_Jun_26_1158,59.8852498966,untitled.py,001,293,
16,0,16,0,None,0.38,1,44,6.47339787614,7.68094157241,90,right,right,2018_Jun_26_1158,59.8852498966,untitled.py,001,293,
17,0,17,0,None,0.38,1,41,6.03792688716,7.2117333347,90,right,right,2018_Jun_26_1158,59.8852498966,untitled.py,001,293,
18,0,18,0,None,0.38,1,38,8.77786729857,10.2413046909,90,right,right,2018_Jun_26_1158,59.8852498966,untitled.py,001,293,
19,0,19,0,None,0.38,1,35,11.1571884137,12.4043793278,90,right,right,2018_Jun_26_1158,59.8852498966,untitled.py,001,293,
20,0,20,0,None,0.38,1,32,6.01623418555,7.20020617079,90,left,left,2018_Jun_26_1158,59.8852498966,untitled.py,001,293,
21,0,21,0,None,0.38,1,29,8.30678088963,9.68632242363,90,left,left,2018_Jun_26_1158,59.8852498966,untitled.py,001,293,
22,0,22,0,None,0.38,1,26,5.01715497393,6.54497038014,90,left,left,2018_Jun_26_1158,59.8852498966,untitled.py,001,293,
23,0,23,0,None,0.38,1,23,4.64567563776,5.9465605272,90,left,left,2018_Jun_26_1158,59.8852498966,untitled.py,001,293,
24,0,24,0,None,0.38,0,20,3.6535093151,18.1285808673,90,right,left,2018_Jun_26_1158,59.8852498966,untitled.py,001,293,
25,0,25,0,None,0.38,1,28,3.40316241328,4.94781515561,90,right,right,2018_Jun_26_1158,59.8852498966,untitled.py,001,293,
26,0,26,0,None,0.38,1,25,10.3599256333,11.7275343658,90,left,left,2018_Jun_26_1158,59.8852498966,untitled.py,001,293,
27,0,27,0,None,0.38,0,22,7.56940002181,16.8069162425,90,right,left,2018_Jun_26_1158,59.8852498966,untitled.py,001,293,
28,0,28,0,None,0.38,1,30,5.46619919594,7.13771079853,90,right,right,2018_Jun_26_1158,59.8852498966,untitled.py,001,293,
29,0,29,0,None,0.38,1,30,8.09678436816,9.19126341492,90,right,right,2018_Jun_26_1158,59.8852498966,untitled.py,001,293,
30,0,30,0,None,0.38,1,24,5.58525259513,6.9648145223,90,right,right,2018_Jun_26_1158,59.8852498966,untitled.py,001,293,
31,0,31,0,None,0.38,1,21,5.74165627174,7.08351564221,90,right,right,2018_Jun_26_1158,59.8852498966,untitled.py,001,293,
32,0,32,0,None,0.38,1,18,9.83408757299,11.0863422593,90,left,left,2018_Jun_26_1158,59.8852498966,untitled.py,001,293,
33,0,33,0,None,0.38,0,15,8.53406424541,11.0216977298,90,right,left,2018_Jun_26_1158,59.8852498966,untitled.py,001,293,
34,0,34,0,None,0.38,1,23,9.26304655988,10.8581797406,90,right,right,2018_Jun_26_1158,59.8852498966,untitled.py,001,293,
35,0,35,0,None,0.38,1,20,9.93118399195,11.2065815628,90,left,left,2018_Jun_26_1158,59.8852498966,untitled.py,001,293,
36,0,36,0,None,0.38,1,17,7.40385970846,9.21048233844,90,left,left,2018_Jun_26_1158,59.8852498966,untitled.py,001,293,
