trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.thisTrial,imagename,correct,Difference,touch_delay,lick_delay,orientation,correctstim,last_choice,date,frameRate,expName,session,participant,
0,0,0,0,None,0.38,0,0,0,0,0,,right,2018_Jun_06_1031,59.8870533565,untitled.py,001,293,
1,0,1,0,None,0.38,1,80,3.14922622871,5.35925571574,90,left,left,2018_Jun_06_1031,59.8870533565,untitled.py,001,293,
2,0,2,0,None,0.38,1,80,3.03417724883,5.4016602668,90,left,left,2018_Jun_06_1031,59.8870533565,untitled.py,001,293,
3,0,3,0,None,0.38,1,74,4.02909028903,5.58238295605,90,left,left,2018_Jun_06_1031,59.8870533565,untitled.py,001,293,
4,0,4,0,None,0.38,1,71,3.73234894406,5.7617744715,90,left,left,2018_Jun_06_1031,59.8870533565,untitled.py,001,293,
5,0,5,0,None,0.38,1,71,4.29427455179,5.93928669719,90,left,left,2018_Jun_06_1031,59.8870533565,untitled.py,001,293,
6,0,6,0,None,0.38,1,65,5.11597507494,6.82049673935,90,left,left,2018_Jun_06_1031,59.8870533565,untitled.py,001,293,
7,0,7,0,None,0.38,1,65,8.49910589168,9.93887854461,90,left,left,2018_Jun_06_1031,59.8870533565,untitled.py,001,293,
8,0,8,0,None,0.38,1,59,3.20477015944,7.22456513299,90,left,left,2018_Jun_06_1031,59.8870533565,untitled.py,001,293,
9,0,9,0,None,0.38,1,59,6.94554754859,9.11426340509,90,left,left,2018_Jun_06_1031,59.8870533565,untitled.py,001,293,
10,0,10,0,None,0.38,1,59,4.01534748124,6.8783892924,90,left,left,2018_Jun_06_1031,59.8870533565,untitled.py,001,293,
11,0,11,0,None,0.38,1,50,3.09872763185,4.29434774537,90,right,right,2018_Jun_06_1031,59.8870533565,untitled.py,001,293,
12,0,12,0,None,0.38,1,47,7.65288018435,9.03753214423,90,right,right,2018_Jun_06_1031,59.8870533565,untitled.py,001,293,
13,0,13,0,None,0.38,1,44,3.54734386643,5.43794309068,90,right,right,2018_Jun_06_1031,59.8870533565,untitled.py,001,293,
14,0,14,0,None,0.38,1,41,5.93708027154,7.66233026842,90,left,left,2018_Jun_06_1031,59.8870533565,untitled.py,001,293,
15,0,15,0,None,0.38,1,38,14.0821707789,16.2229260979,90,right,right,2018_Jun_06_1031,59.8870533565,untitled.py,001,293,
16,0,16,0,None,0.38,0,35,6.3447044245,9.54696337087,90,left,right,2018_Jun_06_1031,59.8870533565,untitled.py,001,293,
17,0,17,0,None,0.38,1,43,2.8491433966,4.15977086453,90,left,left,2018_Jun_06_1031,59.8870533565,untitled.py,001,293,
18,0,18,0,None,0.38,1,40,12.5830651661,13.9873056491,90,right,right,2018_Jun_06_1031,59.8870533565,untitled.py,001,293,
