trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.thisTrial,imagename,correct,Difference,touch_delay,lick_delay,orientation,correctstim,last_choice,date,frameRate,expName,session,participant,
0,0,0,0,None,0.38,1,77,4.58365155291,6.49754843116,90,left,left,2018_Jun_13_1350,59.8831461365,untitled.py,001,293,
1,0,1,0,None,0.38,1,74,2.60086407606,3.23539528064,90,left,left,2018_Jun_13_1350,59.8831461365,untitled.py,001,293,
2,0,2,0,None,0.38,1,71,4.08301306423,4.96510310657,90,left,left,2018_Jun_13_1350,59.8831461365,untitled.py,001,293,
3,0,3,0,None,0.38,1,68,4.8550676126,5.60342725087,90,left,left,2018_Jun_13_1350,59.8831461365,untitled.py,001,293,
4,0,4,0,None,0.38,1,68,4.01283459179,5.56047262996,90,left,left,2018_Jun_13_1350,59.8831461365,untitled.py,001,293,
5,0,5,0,None,0.38,1,62,3.67625382543,4.88977565616,90,right,right,2018_Jun_13_1350,59.8831461365,untitled.py,001,293,
6,0,6,0,None,0.38,1,62,6.0766306892,7.88072562311,90,right,right,2018_Jun_13_1350,59.8831461365,untitled.py,001,293,
7,0,7,0,None,0.38,1,56,4.47656028904,6.20255674887,90,left,left,2018_Jun_13_1350,59.8831461365,untitled.py,001,293,
8,0,8,0,None,0.38,1,53,5.58739504591,9.76548136678,90,left,left,2018_Jun_13_1350,59.8831461365,untitled.py,001,293,
9,0,9,0,None,0.38,1,53,4.13382427115,6.26127817947,90,left,left,2018_Jun_13_1350,59.8831461365,untitled.py,001,293,
10,0,10,0,None,0.38,1,53,4.36733439565,6.84814494569,90,left,left,2018_Jun_13_1350,59.8831461365,untitled.py,001,293,
11,0,11,0,None,0.38,1,44,4.70549189951,5.94212811999,90,right,right,2018_Jun_13_1350,59.8831461365,untitled.py,001,293,
12,0,12,0,None,0.38,1,41,5.6616564393,8.3431654023,90,left,left,2018_Jun_13_1350,59.8831461365,untitled.py,001,293,
13,0,13,0,None,0.38,1,38,4.44538565632,6.04321471043,90,left,left,2018_Jun_13_1350,59.8831461365,untitled.py,001,293,
14,0,14,0,None,0.38,1,35,4.04032160528,5.01986481529,90,right,right,2018_Jun_13_1350,59.8831461365,untitled.py,001,293,
15,0,15,0,None,0.38,1,32,7.69020727463,9.26754154451,90,right,right,2018_Jun_13_1350,59.8831461365,untitled.py,001,293,
16,0,16,0,None,0.38,1,29,5.02345912717,6.58237261977,90,right,right,2018_Jun_13_1350,59.8831461365,untitled.py,001,293,
17,0,17,0,None,0.38,1,26,7.93014754727,9.76957658026,90,left,left,2018_Jun_13_1350,59.8831461365,untitled.py,001,293,
18,0,18,0,None,0.38,1,23,11.0340099093,12.7213643081,90,right,right,2018_Jun_13_1350,59.8831461365,untitled.py,001,293,
19,0,19,0,None,0.38,1,20,3.82327334955,5.60231007077,90,right,right,2018_Jun_13_1350,59.8831461365,untitled.py,001,293,
20,0,20,0,None,0.38,1,17,6.83907116763,8.36389680859,90,left,left,2018_Jun_13_1350,59.8831461365,untitled.py,001,293,
21,0,21,0,None,0.38,1,14,3.84105829149,5.57832573727,90,left,left,2018_Jun_13_1350,59.8831461365,untitled.py,001,293,
22,0,22,0,None,0.38,1,11,4.41825315822,7.95930823591,90,left,left,2018_Jun_13_1350,59.8831461365,untitled.py,001,293,
23,0,23,0,None,0.38,1,8,3.4849848235,6.11613096017,90,left,left,2018_Jun_13_1350,59.8831461365,untitled.py,001,293,
24,0,24,0,None,0.38,0,5,5.8312693378,12.8996400386,90,right,left,2018_Jun_13_1350,59.8831461365,untitled.py,001,293,
25,0,25,0,None,0.38,1,13,3.83204066381,5.59226689395,90,right,right,2018_Jun_13_1350,59.8831461365,untitled.py,001,293,
26,0,26,0,None,0.38,1,10,10.4122300465,12.2396810213,90,left,left,2018_Jun_13_1350,59.8831461365,untitled.py,001,293,
27,0,27,0,None,0.38,0,7,4.51673019957,6.5020193914,90,right,left,2018_Jun_13_1350,59.8831461365,untitled.py,001,293,
28,0,28,0,None,0.38,0,15,2.6057294989,5.99687669799,90,right,left,2018_Jun_13_1350,59.8831461365,untitled.py,001,293,
29,0,29,0,None,0.38,0,23,1.61393696629,3.37560611684,90,right,left,2018_Jun_13_1350,59.8831461365,untitled.py,001,293,
30,0,30,0,None,0.38,0,31,1.28261552844,1.65719805192,90,right,left,2018_Jun_13_1350,59.8831461365,untitled.py,001,293,
31,0,31,0,None,0.38,1,39,1.78161023278,2.5721271839,90,right,right,2018_Jun_13_1350,59.8831461365,untitled.py,001,293,
32,0,32,0,None,0.38,1,36,7.35601061024,8.45959779806,90,right,right,2018_Jun_13_1350,59.8831461365,untitled.py,001,293,
33,0,33,0,None,0.38,1,33,4.26781448442,5.1410506079,90,right,right,2018_Jun_13_1350,59.8831461365,untitled.py,001,293,
34,0,34,0,None,0.38,1,30,4.71780016739,6.02747500036,90,left,left,2018_Jun_13_1350,59.8831461365,untitled.py,001,293,
35,0,35,0,None,0.38,1,27,4.22203073278,5.15705068596,90,right,right,2018_Jun_13_1350,59.8831461365,untitled.py,001,293,
36,0,36,0,None,0.38,1,27,4.35059288237,5.30357042514,90,right,right,2018_Jun_13_1350,59.8831461365,untitled.py,001,293,
37,0,37,0,None,0.38,1,21,5.25991487689,6.60321996175,90,left,left,2018_Jun_13_1350,59.8831461365,untitled.py,001,293,
38,0,38,0,None,0.38,1,18,9.59380926844,10.5998533331,90,right,right,2018_Jun_13_1350,59.8831461365,untitled.py,001,293,
39,0,39,0,None,0.38,0,15,4.37328431383,5.22627233341,90,left,right,2018_Jun_13_1350,59.8831461365,untitled.py,001,293,
40,0,40,0,None,0.38,0,23,2.90217723139,4.0580232963,90,left,right,2018_Jun_13_1350,59.8831461365,untitled.py,001,293,
41,0,41,0,None,0.38,0,31,1.94261812605,16.571377648,90,left,right,2018_Jun_13_1350,59.8831461365,untitled.py,001,293,
42,0,42,0,None,0.38,1,39,3.53857096378,4.84286634251,90,left,left,2018_Jun_13_1350,59.8831461365,untitled.py,001,293,
43,0,43,0,None,0.38,1,36,5.41933653597,6.50601626746,90,left,left,2018_Jun_13_1350,59.8831461365,untitled.py,001,293,
44,0,44,0,None,0.38,1,33,4.11112697236,6.13930876646,90,left,left,2018_Jun_13_1350,59.8831461365,untitled.py,001,293,
45,0,45,0,None,0.38,1,30,3.97527702618,5.51742777415,90,left,left,2018_Jun_13_1350,59.8831461365,untitled.py,001,293,
46,0,46,0,None,0.38,1,27,4.74032733217,6.1969979424,90,left,left,2018_Jun_13_1350,59.8831461365,untitled.py,001,293,
47,0,47,0,None,0.38,1,24,4.70975808334,6.26230680104,90,right,right,2018_Jun_13_1350,59.8831461365,untitled.py,001,293,
