trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.thisTrial,imagename,correct,Difference,touch_delay,lick_delay,orientation,correctstim,last_choice,date,frameRate,expName,session,participant,
0,0,0,0,None,0.38,1,62,22.6429188629,28.9941615486,90,left,left,2018_Mai_29_1127,59.9910337654,untitled.py,001,293,
1,0,1,0,None,0.38,1,59,12.3470611488,13.112484687,90,right,right,2018_Mai_29_1127,59.9910337654,untitled.py,001,293,
2,0,2,0,None,0.38,1,59,7.42895675311,9.0917345644,90,right,right,2018_Mai_29_1127,59.9910337654,untitled.py,001,293,
3,0,3,0,None,0.38,1,53,15.9709977107,17.5985364062,90,right,right,2018_Mai_29_1127,59.9910337654,untitled.py,001,293,
4,0,4,0,None,0.38,1,50,10.7761715525,12.8643495194,90,left,left,2018_Mai_29_1127,59.9910337654,untitled.py,001,293,
5,0,5,0,None,0.38,1,47,13.396749028,15.3988738791,90,right,right,2018_Mai_29_1127,59.9910337654,untitled.py,001,293,
6,0,6,0,None,0.38,1,47,8.60076797474,9.37835786399,90,right,right,2018_Mai_29_1127,59.9910337654,untitled.py,001,293,
7,0,7,0,None,0.38,1,47,10.0089796325,12.3997410284,90,right,right,2018_Mai_29_1127,59.9910337654,untitled.py,001,293,
8,0,8,0,None,0.38,1,47,5.05448485771,6.84570525028,90,right,right,2018_Mai_29_1127,59.9910337654,untitled.py,001,293,
9,0,9,0,None,0.38,1,47,5.82532416843,7.54245162476,90,right,right,2018_Mai_29_1127,59.9910337654,untitled.py,001,293,
10,0,10,0,None,0.38,1,47,7.90473901015,8.7004943369,90,right,right,2018_Mai_29_1127,59.9910337654,untitled.py,001,293,
11,0,11,0,None,0.38,1,29,6.91770518292,8.05658959411,90,left,left,2018_Mai_29_1127,59.9910337654,untitled.py,001,293,
12,0,12,0,None,0.38,1,26,30.7023725086,32.618585323,90,left,left,2018_Mai_29_1127,59.9910337654,untitled.py,001,293,
13,0,13,0,None,0.38,1,23,7.4364381507,8.25716899801,90,left,left,2018_Mai_29_1127,59.9910337654,untitled.py,001,293,
14,0,14,0,None,0.38,1,23,5.03291228367,6.57786841644,90,left,left,2018_Mai_29_1127,59.9910337654,untitled.py,001,293,
15,0,15,0,None,0.38,1,17,6.15521274367,8.30036191782,90,right,right,2018_Mai_29_1127,59.9910337654,untitled.py,001,293,
16,0,16,0,None,0.38,1,14,8.47892008629,10.6833002521,90,left,left,2018_Mai_29_1127,59.9910337654,untitled.py,001,293,
17,0,17,0,None,0.38,1,11,4.37406653631,6.39531420916,90,right,right,2018_Mai_29_1127,59.9910337654,untitled.py,001,293,
18,0,18,0,None,0.38,1,8,5.06181819225,7.75699453428,90,left,left,2018_Mai_29_1127,59.9910337654,untitled.py,001,293,
19,0,19,0,None,0.38,1,5,8.225583978,10.4734462062,90,right,right,2018_Mai_29_1127,59.9910337654,untitled.py,001,293,
20,0,20,0,None,0.38,0,2,5.47045616107,8.04109377041,90,right,left,2018_Mai_29_1127,59.9910337654,untitled.py,001,293,
21,0,21,0,None,0.38,0,2,3.04692942789,6.55864502303,90,right,left,2018_Mai_29_1127,59.9910337654,untitled.py,001,293,
22,0,22,0,None,0.38,1,18,2.6477971361,4.14588949131,90,right,right,2018_Mai_29_1127,59.9910337654,untitled.py,001,293,
23,0,23,0,None,0.38,1,15,15.2517786478,16.4786119461,90,right,right,2018_Mai_29_1127,59.9910337654,untitled.py,001,293,
24,0,24,0,None,0.38,0,12,5.82255649799,9.50637720712,90,right,left,2018_Mai_29_1127,59.9910337654,untitled.py,001,293,
25,0,25,0,None,0.38,1,20,2.2254037871,3.51488303673,90,left,left,2018_Mai_29_1127,59.9910337654,untitled.py,001,293,
