trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.thisTrial,imagename,correct,Difference,touch_delay,lick_delay,orientation,correctstim,last_choice,date,frameRate,expName,session,participant,
0,0,0,0,None,0.38,0,75,10.4022262609,11.205802693,90,right,left,2018_Mai_22_1147,59.9957594479,untitled.py,001,293,
1,0,1,0,None,0.38,1,83,2.98675194755,4.53371811239,90,left,left,2018_Mai_22_1147,59.9957594479,untitled.py,001,293,
2,0,2,0,None,0.38,1,80,6.63573889993,9.07460221928,90,right,right,2018_Mai_22_1147,59.9957594479,untitled.py,001,293,
3,0,3,0,None,0.38,0,77,1.71321271267,13.1919947928,90,right,left,2018_Mai_22_1147,59.9957594479,untitled.py,001,293,
4,0,4,0,None,0.38,1,85,1.74142551655,3.75640898477,90,left,left,2018_Mai_22_1147,59.9957594479,untitled.py,001,293,
5,0,5,0,None,0.38,1,82,2.16038826201,3.70072453376,90,left,left,2018_Mai_22_1147,59.9957594479,untitled.py,001,293,
6,0,6,0,None,0.38,1,79,1.37087534834,3.80364431767,90,left,left,2018_Mai_22_1147,59.9957594479,untitled.py,001,293,
7,0,7,0,None,0.38,1,79,1.70418698434,4.8602115633,90,left,left,2018_Mai_22_1147,59.9957594479,untitled.py,001,293,
8,0,8,0,None,0.38,1,73,7.8269034191,9.75027999375,90,left,left,2018_Mai_22_1147,59.9957594479,untitled.py,001,293,
9,0,9,0,None,0.38,1,73,4.9496673462,6.75855283299,90,left,left,2018_Mai_22_1147,59.9957594479,untitled.py,001,293,
10,0,10,0,None,0.38,1,73,3.90922393743,5.28013308952,90,left,left,2018_Mai_22_1147,59.9957594479,untitled.py,001,293,
11,0,11,0,None,0.38,1,64,5.81052340474,7.0262159016,90,right,right,2018_Mai_22_1147,59.9957594479,untitled.py,001,293,
12,0,12,0,None,0.38,1,61,3.91417093528,5.30489433743,90,right,right,2018_Mai_22_1147,59.9957594479,untitled.py,001,293,
13,0,13,0,None,0.38,1,58,5.37286470784,6.44131307211,90,right,right,2018_Mai_22_1147,59.9957594479,untitled.py,001,293,
14,0,14,0,None,0.38,1,55,4.20818791213,6.15939344233,90,left,left,2018_Mai_22_1147,59.9957594479,untitled.py,001,293,
15,0,15,0,None,0.38,1,52,7.33260456286,8.73935346492,90,right,right,2018_Mai_22_1147,59.9957594479,untitled.py,001,293,
16,0,16,0,None,0.38,1,49,3.58396220766,4.72048514569,90,left,left,2018_Mai_22_1147,59.9957594479,untitled.py,001,293,
17,0,17,0,None,0.38,1,46,4.2689073612,5.65263713663,90,right,right,2018_Mai_22_1147,59.9957594479,untitled.py,001,293,
18,0,18,0,None,0.38,1,43,6.51987780584,7.86518258601,90,right,right,2018_Mai_22_1147,59.9957594479,untitled.py,001,293,
19,0,19,0,None,0.38,1,40,5.69901174586,6.93784573162,90,left,left,2018_Mai_22_1147,59.9957594479,untitled.py,001,293,
20,0,20,0,None,0.38,1,37,3.75620169612,5.24365722435,90,left,left,2018_Mai_22_1147,59.9957594479,untitled.py,001,293,
21,0,21,0,None,0.38,1,37,7.99936304754,10.7060564961,90,left,left,2018_Mai_22_1147,59.9957594479,untitled.py,001,293,
22,0,22,0,None,0.38,1,37,6.14482399262,7.69813118689,90,left,left,2018_Mai_22_1147,59.9957594479,untitled.py,001,293,
23,0,23,0,None,0.38,0,28,4.35649530869,6.76098526502,90,right,left,2018_Mai_22_1147,59.9957594479,untitled.py,001,293,
24,0,24,0,None,0.38,0,36,1.76836553263,6.38005556585,90,right,left,2018_Mai_22_1147,59.9957594479,untitled.py,001,293,
25,0,25,0,None,0.38,1,44,6.34165627183,8.24065907812,90,right,right,2018_Mai_22_1147,59.9957594479,untitled.py,001,293,
26,0,26,0,None,0.38,1,41,6.33392595965,7.36159316311,90,right,right,2018_Mai_22_1147,59.9957594479,untitled.py,001,293,
27,0,27,0,None,0.38,1,38,9.50955833774,10.8100166363,90,right,right,2018_Mai_22_1147,59.9957594479,untitled.py,001,293,
28,0,28,0,None,0.38,1,35,8.76213932224,10.4872736619,90,left,left,2018_Mai_22_1147,59.9957594479,untitled.py,001,293,
29,0,29,0,None,0.38,1,32,17.2622132143,18.8478013268,90,right,right,2018_Mai_22_1147,59.9957594479,untitled.py,001,293,
30,0,30,0,None,0.38,0,29,6.85727906739,9.06567231286,90,left,right,2018_Mai_22_1147,59.9957594479,untitled.py,001,293,
