trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.thisTrial,imagename,correct,Difference,touch_delay,lick_delay,orientation,correctstim,last_choice,date,frameRate,expName,session,participant,
0,0,0,0,None,0.38,1,47,20.4358009188,22.1743291398,90,right,right,2018_Mai_23_1205,59.9929439938,untitled.py,001,293,
1,0,1,0,None,0.38,0,44,3.87123195827,5.98451730562,90,right,left,2018_Mai_23_1205,59.9929439938,untitled.py,001,293,
2,0,2,0,None,0.38,1,52,4.62141417386,6.50527567044,90,left,left,2018_Mai_23_1205,59.9929439938,untitled.py,001,293,
3,0,3,0,None,0.38,0,49,9.32832273375,11.5299799275,90,right,left,2018_Mai_23_1205,59.9929439938,untitled.py,001,293,
4,0,4,0,None,0.38,1,57,3.45116683841,5.10250939755,90,right,right,2018_Mai_23_1205,59.9929439938,untitled.py,001,293,
5,0,5,0,None,0.38,1,54,9.23439599155,10.5867960872,90,left,left,2018_Mai_23_1205,59.9929439938,untitled.py,001,293,
6,0,6,0,None,0.38,1,54,5.2989044697,6.56479915744,90,left,left,2018_Mai_23_1205,59.9929439938,untitled.py,001,293,
7,0,7,0,None,0.38,1,48,8.32043206599,10.1449145069,90,left,left,2018_Mai_23_1205,59.9929439938,untitled.py,001,293,
8,0,8,0,None,0.38,1,48,6.36170239514,7.18946039211,90,left,left,2018_Mai_23_1205,59.9929439938,untitled.py,001,293,
9,0,9,0,None,0.38,1,48,4.63700135052,7.1657188274,90,left,left,2018_Mai_23_1205,59.9929439938,untitled.py,001,293,
10,0,10,0,None,0.38,1,48,5.68194588972,7.07024859311,90,left,left,2018_Mai_23_1205,59.9929439938,untitled.py,001,293,
11,0,11,0,None,0.38,1,36,6.37246353971,7.30870376015,90,right,right,2018_Mai_23_1205,59.9929439938,untitled.py,001,293,
12,0,12,0,None,0.38,1,33,3.97375532333,5.58071374986,90,right,right,2018_Mai_23_1205,59.9929439938,untitled.py,001,293,
13,0,13,0,None,0.38,1,30,5.11773060542,6.95727836899,90,right,right,2018_Mai_23_1205,59.9929439938,untitled.py,001,293,
