trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.thisTrial,imagename,correct,Difference,touch_delay,lick_delay,orientation,correctstim,last_choice,date,frameRate,expName,session,participant,
0,0,0,0,None,0.38,0,36,6.09414073545,6.83923710976,90,left,right,2018_Jun_04_1421,59.9948545116,untitled.py,001,293,
1,0,1,0,None,0.38,1,36,5.08460125513,6.72004514514,90,left,left,2018_Jun_04_1421,59.9948545116,untitled.py,001,293,
2,0,2,0,None,0.38,1,41,8.75306693977,11.282366334,90,left,left,2018_Jun_04_1421,59.9948545116,untitled.py,001,293,
3,0,3,0,None,0.38,0,38,4.28534101369,4.5456760563,90,left,right,2018_Jun_04_1421,59.9948545116,untitled.py,001,293,
4,0,4,0,None,0.38,0,46,1.48310637288,2.41593107535,90,left,right,2018_Jun_04_1421,59.9948545116,untitled.py,001,293,
5,0,5,0,None,0.38,1,54,2.0931171421,3.65936005861,90,left,left,2018_Jun_04_1421,59.9948545116,untitled.py,001,293,
6,0,6,0,None,0.38,1,51,5.71646452276,6.35928365216,90,left,left,2018_Jun_04_1421,59.9948545116,untitled.py,001,293,
7,0,7,0,None,0.38,1,48,3.84316973248,5.90416854667,90,left,left,2018_Jun_04_1421,59.9948545116,untitled.py,001,293,
8,0,8,0,None,0.38,1,48,3.82818738138,4.64947835589,90,left,left,2018_Jun_04_1421,59.9948545116,untitled.py,001,293,
9,0,9,0,None,0.38,1,48,4.29725426016,6.16376243345,90,left,left,2018_Jun_04_1421,59.9948545116,untitled.py,001,293,
10,0,10,0,None,0.38,1,48,3.68642606772,4.82254392654,90,left,left,2018_Jun_04_1421,59.9948545116,untitled.py,001,293,
11,0,11,0,None,0.38,1,36,5.58896703366,9.46921410412,90,right,right,2018_Jun_04_1421,59.9948545116,untitled.py,001,293,
12,0,12,0,None,0.38,1,33,5.07525593322,7.84309123084,90,right,right,2018_Jun_04_1421,59.9948545116,untitled.py,001,293,
13,0,13,0,None,0.38,1,30,14.7296597753,17.4666224341,90,right,right,2018_Jun_04_1421,59.9948545116,untitled.py,001,293,
14,0,14,0,None,0.38,1,27,6.68059655651,7.8624864337,90,left,left,2018_Jun_04_1421,59.9948545116,untitled.py,001,293,
15,0,15,0,None,0.38,1,24,3.55935042026,5.58766128076,90,right,right,2018_Jun_04_1421,59.9948545116,untitled.py,001,293,
16,0,16,0,None,0.38,1,24,5.97067811713,8.17642773036,90,right,right,2018_Jun_04_1421,59.9948545116,untitled.py,001,293,
17,0,17,0,None,0.38,1,18,4.21256053494,5.67654799717,90,left,left,2018_Jun_04_1421,59.9948545116,untitled.py,001,293,
18,0,18,0,None,0.38,0,15,4.18643738236,7.20627062907,90,right,left,2018_Jun_04_1421,59.9948545116,untitled.py,001,293,
19,0,19,0,None,0.38,1,23,1.91698218603,4.29128366848,90,right,right,2018_Jun_04_1421,59.9948545116,untitled.py,001,293,
20,0,20,0,None,0.38,1,20,6.8276202702,7.55814747419,90,left,left,2018_Jun_04_1421,59.9948545116,untitled.py,001,293,
