trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,imagename,correct,Difference,touch_delay,lick_delay,orientation,correctstim,last_choice,date,frameRate,expName,session,participant,
47,0,47,0,0.15,0,90,4.00674247649,4.74690665957,90,right,left,2018_Feb_14_1555,59.8853500952,untitled.py,001,293,
48,0,48,0,0.15,1,90,4.11794040818,5.78494836576,90,right,right,2018_Feb_14_1555,59.8853500952,untitled.py,001,293,
49,0,49,0,0.15,0,90,9.02472409233,15.2220963845,90,left,right,2018_Feb_14_1555,59.8853500952,untitled.py,001,293,
50,0,50,0,0.15,0,90,7.57771727908,10.5916900048,90,left,right,2018_Feb_14_1555,59.8853500952,untitled.py,001,293,
51,0,51,0,0.15,1,90,1.68188834097,3.89794066083,90,left,left,2018_Feb_14_1555,59.8853500952,untitled.py,001,293,
52,0,52,0,0.15,1,90,3.98869018257,5.7184684081,90,left,left,2018_Feb_14_1555,59.8853500952,untitled.py,001,293,
53,0,53,0,0.15,1,90,12.2873745132,14.121411521,90,left,left,2018_Feb_14_1555,59.8853500952,untitled.py,001,293,
54,0,54,0,0.15,1,90,4.27220750134,6.61790870037,90,left,left,2018_Feb_14_1555,59.8853500952,untitled.py,001,293,
55,0,55,0,0.15,0,90,4.951889975,6.10745024867,90,right,left,2018_Feb_14_1555,59.8853500952,untitled.py,001,293,
56,0,56,0,0.15,1,90,6.66309042089,11.0376153952,90,right,right,2018_Feb_14_1555,59.8853500952,untitled.py,001,293,
57,0,57,0,0.15,0,90,3.33341444284,6.37313345727,90,right,left,2018_Feb_14_1555,59.8853500952,untitled.py,001,293,
58,0,58,0,0.15,1,90,9.06996894814,10.917188637,90,right,right,2018_Feb_14_1555,59.8853500952,untitled.py,001,293,
59,0,59,0,0.15,0,90,3.2979965331,13.4998587808,90,right,left,2018_Feb_14_1555,59.8853500952,untitled.py,001,293,
60,0,60,0,0.15,0,90,1.52063572314,6.90161123872,90,right,left,2018_Feb_14_1555,59.8853500952,untitled.py,001,293,
61,0,61,0,0.15,0,90,1.73194721714,7.16124982387,90,right,left,2018_Feb_14_1555,59.8853500952,untitled.py,001,293,
62,0,62,0,0.15,0,90,8.2764977105,11.5162960654,90,right,left,2018_Feb_14_1555,59.8853500952,untitled.py,001,293,
63,0,63,0,0.15,0,90,3.56304222997,4.45594565757,90,right,left,2018_Feb_14_1555,59.8853500952,untitled.py,001,293,
64,0,64,0,0.15,1,90,1.31469697971,3.32671806123,90,right,right,2018_Feb_14_1555,59.8853500952,untitled.py,001,293,
65,0,65,0,0.15,1,90,8.60090542212,11.0281287143,90,right,right,2018_Feb_14_1555,59.8853500952,untitled.py,001,293,
66,0,66,0,0.15,1,90,5.7736620158,8.07599848602,90,right,right,2018_Feb_14_1555,59.8853500952,untitled.py,001,293,
67,0,67,0,0.15,0,90,4.96124535426,11.3615618749,90,right,left,2018_Feb_14_1555,59.8853500952,untitled.py,001,293,
68,0,68,0,0.15,1,90,6.3455414027,7.98785236664,90,left,left,2018_Feb_14_1555,59.8853500952,untitled.py,001,293,
69,0,69,0,0.15,1,90,3.70950441994,5.16284248419,90,left,left,2018_Feb_14_1555,59.8853500952,untitled.py,001,293,
70,0,70,0,0.15,1,90,4.41005323268,5.78376609273,90,left,left,2018_Feb_14_1555,59.8853500952,untitled.py,001,293,
71,0,71,0,0.15,0,90,10.9689287329,33.2600171249,90,right,left,2018_Feb_14_1555,59.8853500952,untitled.py,001,293,
72,0,72,0,0.15,0,90,4.44665648788,12.0028632125,90,right,left,2018_Feb_14_1555,59.8853500952,untitled.py,001,293,
73,0,73,0,0.15,0,90,3.84566250816,7.61648282129,90,right,left,2018_Feb_14_1555,59.8853500952,untitled.py,001,293,
74,0,74,0,0.15,0,90,1.50900268089,6.64179805014,90,right,left,2018_Feb_14_1555,59.8853500952,untitled.py,001,293,
75,0,75,0,0.15,1,90,10.095468279,12.0512696449,90,right,right,2018_Feb_14_1555,59.8853500952,untitled.py,001,293,
76,0,76,0,0.15,1,90,4.28042474668,6.14380235411,90,left,left,2018_Feb_14_1555,59.8853500952,untitled.py,001,293,
77,0,77,0,0.15,1,90,5.50271836296,7.08245824557,90,right,right,2018_Feb_14_1555,59.8853500952,untitled.py,001,293,
78,0,78,0,0.15,0,90,4.41612104326,14.8683930496,90,right,left,2018_Feb_14_1555,59.8853500952,untitled.py,001,293,
79,0,79,0,0.15,0,90,5.40627454035,9.04594047554,90,right,left,2018_Feb_14_1555,59.8853500952,untitled.py,001,293,
80,0,80,0,0.15,0,90,4.49980346672,9.16377640236,90,right,left,2018_Feb_14_1555,59.8853500952,untitled.py,001,293,
81,0,81,0,0.15,0,90,8.22743113991,16.1041604457,90,right,left,2018_Feb_14_1555,59.8853500952,untitled.py,001,293,
82,0,82,0,0.15,1,90,4.61174814124,6.55503422953,90,right,right,2018_Feb_14_1555,59.8853500952,untitled.py,001,293,
83,0,83,0,0.15,1,90,9.16303105559,10.8461729074,90,right,right,2018_Feb_14_1555,59.8853500952,untitled.py,001,293,
84,0,84,0,0.15,0,90,15.3996650409,28.5042920262,90,right,left,2018_Feb_14_1555,59.8853500952,untitled.py,001,293,
