trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,imagename,correct,Difference,touch_delay,lick_delay,orientation,correctstim,last_choice,date,frameRate,expName,session,participant,
46,0,46,0,0.15,1,90,6.06521108188,7.89714055881,90,left,left,2018_Mrz_08_1356,59.8880555854,untitled.py,001,293,
47,0,47,0,0.15,1,90,3.9039534349,5.1206089044,90,right,right,2018_Mrz_08_1356,59.8880555854,untitled.py,001,293,
48,0,48,0,0.15,1,90,4.76607362181,6.46004226804,90,right,right,2018_Mrz_08_1356,59.8880555854,untitled.py,001,293,
49,0,49,0,0.15,0,90,3.42240843456,5.75882605184,90,right,left,2018_Mrz_08_1356,59.8880555854,untitled.py,001,293,
50,0,50,0,0.15,1,90,2.45751233771,4.09686678089,90,left,left,2018_Mrz_08_1356,59.8880555854,untitled.py,001,293,
51,0,51,0,0.15,1,90,4.20678857248,6.82229585107,90,left,left,2018_Mrz_08_1356,59.8880555854,untitled.py,001,293,
52,0,52,0,0.15,1,90,7.16814902425,9.09830048215,90,left,left,2018_Mrz_08_1356,59.8880555854,untitled.py,001,293,
53,0,53,0,0.15,1,90,4.73102614935,6.1373160556,90,left,left,2018_Mrz_08_1356,59.8880555854,untitled.py,001,293,
54,0,54,0,0.15,1,90,5.00629186071,6.72146683466,90,left,left,2018_Mrz_08_1356,59.8880555854,untitled.py,001,293,
55,0,55,0,0.15,0,90,5.3855867153,6.40591527708,90,right,left,2018_Mrz_08_1356,59.8880555854,untitled.py,001,293,
56,0,56,0,0.15,1,90,1.51688804012,3.44019728713,90,right,right,2018_Mrz_08_1356,59.8880555854,untitled.py,001,293,
57,0,57,0,0.15,1,90,3.05297069903,4.52148247976,90,right,right,2018_Mrz_08_1356,59.8880555854,untitled.py,001,293,
58,0,58,0,0.15,1,90,4.106678362,5.5184698049,90,left,left,2018_Mrz_08_1356,59.8880555854,untitled.py,001,293,
59,0,59,0,0.15,1,90,2.85344170872,4.64374634251,90,right,right,2018_Mrz_08_1356,59.8880555854,untitled.py,001,293,
60,0,60,0,0.15,0,90,3.71055036318,7.09849575814,90,right,left,2018_Mrz_08_1356,59.8880555854,untitled.py,001,293,
61,0,61,0,0.15,0,90,7.21403893549,22.4418947101,90,left,right,2018_Mrz_08_1356,59.8880555854,untitled.py,001,293,
62,0,62,0,0.15,0,90,3.26090355031,6.19540220872,90,right,left,2018_Mrz_08_1356,59.8880555854,untitled.py,001,293,
63,0,63,0,0.15,0,90,1.25717123318,4.28528905194,90,right,left,2018_Mrz_08_1356,59.8880555854,untitled.py,001,293,
64,0,64,0,0.15,1,90,1.53739567474,2.91480984353,90,left,left,2018_Mrz_08_1356,59.8880555854,untitled.py,001,293,
65,0,65,0,0.15,0,90,34.410740192,38.7786836037,90,left,right,2018_Mrz_08_1356,59.8880555854,untitled.py,001,293,
66,0,66,0,0.15,1,90,1.46689062472,4.77744182572,90,left,left,2018_Mrz_08_1356,59.8880555854,untitled.py,001,293,
67,0,67,0,0.15,1,90,5.10627412144,6.50212107971,90,left,left,2018_Mrz_08_1356,59.8880555854,untitled.py,001,293,
68,0,68,0,0.15,1,90,5.01635096129,6.96479440853,90,left,left,2018_Mrz_08_1356,59.8880555854,untitled.py,001,293,
69,0,69,0,0.15,1,90,9.07422200311,10.8424171228,90,left,left,2018_Mrz_08_1356,59.8880555854,untitled.py,001,293,
70,0,70,0,0.15,1,90,8.03634009324,9.52045190055,90,right,right,2018_Mrz_08_1356,59.8880555854,untitled.py,001,293,
71,0,71,0,0.15,1,90,3.77568042837,5.74383336399,90,right,right,2018_Mrz_08_1356,59.8880555854,untitled.py,001,293,
72,0,72,0,0.15,1,90,9.45771627408,11.0403665835,90,right,right,2018_Mrz_08_1356,59.8880555854,untitled.py,001,293,
73,0,73,0,0.15,1,90,7.93522808049,13.4823696865,90,right,right,2018_Mrz_08_1356,59.8880555854,untitled.py,001,293,
74,0,74,0,0.15,1,90,3.20981828682,6.97899621353,90,left,left,2018_Mrz_08_1356,59.8880555854,untitled.py,001,293,
75,0,75,0,0.15,0,90,110.593586615,120.759336731,90,right,left,2018_Mrz_08_1356,59.8880555854,untitled.py,001,293,
76,0,76,0,0.15,1,90,5.55201261584,7.55497472361,90,right,right,2018_Mrz_08_1356,59.8880555854,untitled.py,001,293,
77,0,77,0,0.15,1,90,10.6702128351,13.5862376364,90,left,left,2018_Mrz_08_1356,59.8880555854,untitled.py,001,293,
78,0,78,0,0.15,0,90,6.08265296277,18.8094727118,90,right,left,2018_Mrz_08_1356,59.8880555854,untitled.py,001,293,
79,0,79,0,0.15,1,90,2.67558530532,3.96688405983,90,right,right,2018_Mrz_08_1356,59.8880555854,untitled.py,001,293,
80,0,80,0,0.15,0,90,19.9490027362,55.3914679093,90,left,right,2018_Mrz_08_1356,59.8880555854,untitled.py,001,293,
81,0,81,0,0.15,1,90,11.003441778,14.2590415822,90,left,left,2018_Mrz_08_1356,59.8880555854,untitled.py,001,293,
82,0,82,0,0.15,0,90,10.9966439866,30.0234616408,90,left,right,2018_Mrz_08_1356,59.8880555854,untitled.py,001,293,
83,0,83,0,0.15,1,90,14.7479210347,21.0727287969,90,left,left,2018_Mrz_08_1356,59.8880555854,untitled.py,001,293,
84,0,84,0,0.15,0,90,19.312594478,31.8622953482,90,left,right,2018_Mrz_08_1356,59.8880555854,untitled.py,001,293,
85,0,85,0,0.15,1,90,54.8291106829,57.2324974257,90,right,right,2018_Mrz_08_1356,59.8880555854,untitled.py,001,293,
86,0,86,0,0.15,1,90,14.8990511363,92.9494092129,90,right,right,2018_Mrz_08_1356,59.8880555854,untitled.py,001,293,
87,0,87,0,0.15,0,90,46.4058367759,88.5201990763,90,right,left,2018_Mrz_08_1356,59.8880555854,untitled.py,001,293,
88,0,88,0,0.15,1,90,46.7154336656,100.520806415,90,left,left,2018_Mrz_08_1356,59.8880555854,untitled.py,001,293,
89,0,89,0,0.15,1,90,19.749401669,33.0161730051,90,left,left,2018_Mrz_08_1356,59.8880555854,untitled.py,001,293,
90,0,90,0,0.15,1,90,17.1311613619,42.1989507042,90,left,left,2018_Mrz_08_1356,59.8880555854,untitled.py,001,293,
91,0,91,0,0.15,0,90,31.4083105531,44.9815144101,90,left,right,2018_Mrz_08_1356,59.8880555854,untitled.py,001,293,
92,0,92,0,0.15,1,90,20.4103800897,113.722457463,90,right,right,2018_Mrz_08_1356,59.8880555854,untitled.py,001,293,
93,0,93,0,0.15,0,90,4.47019244079,17.9327945309,90,left,right,2018_Mrz_08_1356,59.8880555854,untitled.py,001,293,
94,0,94,0,0.15,0,90,54.7303878013,381.818836473,90,left,right,2018_Mrz_08_1356,59.8880555854,untitled.py,001,293,
95,0,95,0,0.15,1,90,36.2882802142,85.1233572988,90,left,left,2018_Mrz_08_1356,59.8880555854,untitled.py,001,293,
96,0,96,0,0.15,1,90,19.441851967,24.1510426598,90,right,right,2018_Mrz_08_1356,59.8880555854,untitled.py,001,293,
97,0,97,0,0.15,1,90,14.8790097628,48.8629789548,90,left,left,2018_Mrz_08_1356,59.8880555854,untitled.py,001,293,
98,0,98,0,0.15,1,90,8.99775474239,48.1898473129,90,right,right,2018_Mrz_08_1356,59.8880555854,untitled.py,001,293,
99,0,99,0,0.15,0,90,60.5375979347,68.9542777082,90,left,right,2018_Mrz_08_1356,59.8880555854,untitled.py,001,293,
