trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.thisTrial,imagename,correct,Difference,touch_delay,lick_delay,orientation,correctstim,last_choice,date,frameRate,expName,session,participant,
0,0,0,0,None,0.15,0,90,5.11865809758,8.35467021645,90,left,right,2018_Apr_09_1524,59.9919386074,untitled.py,001,293,
1,0,1,0,None,0.15,0,90,1.93913611927,2.8443511675,90,left,right,2018_Apr_09_1524,59.9919386074,untitled.py,001,293,
2,0,2,0,None,0.15,0,90,1.30182634946,2.54520309146,90,right,left,2018_Apr_09_1524,59.9919386074,untitled.py,001,293,
3,0,3,0,None,0.15,1,90,2.76898013573,4.76324784296,90,left,left,2018_Apr_09_1524,59.9919386074,untitled.py,001,293,
4,0,4,0,None,0.15,1,90,2.48273593432,3.86505659239,90,left,left,2018_Apr_09_1524,59.9919386074,untitled.py,001,293,
5,0,5,0,None,0.15,0,90,2.46912861831,3.26771139906,90,left,right,2018_Apr_09_1524,59.9919386074,untitled.py,001,293,
6,0,6,0,None,0.15,1,90,2.08379612491,3.48319157882,90,left,left,2018_Apr_09_1524,59.9919386074,untitled.py,001,293,
7,0,7,0,None,0.15,1,90,4.69577418361,7.52393111418,90,left,left,2018_Apr_09_1524,59.9919386074,untitled.py,001,293,
8,0,8,0,None,0.15,1,90,2.08066863246,3.54205408791,90,right,right,2018_Apr_09_1524,59.9919386074,untitled.py,001,293,
9,0,9,0,None,0.15,1,90,4.6399939098,5.66633357032,90,right,right,2018_Apr_09_1524,59.9919386074,untitled.py,001,293,
10,0,10,0,None,0.15,0,90,4.35834861692,7.18830046838,90,right,left,2018_Apr_09_1524,59.9919386074,untitled.py,001,293,
11,0,11,0,None,0.15,1,90,3.03743520472,4.25999114412,90,right,right,2018_Apr_09_1524,59.9919386074,untitled.py,001,293,
12,0,12,0,None,0.15,1,90,2.46756584989,3.52572324139,90,right,right,2018_Apr_09_1524,59.9919386074,untitled.py,001,293,
13,0,13,0,None,0.15,1,90,3.25667535956,4.64537029149,90,right,right,2018_Apr_09_1524,59.9919386074,untitled.py,001,293,
14,0,14,0,None,0.15,1,90,3.16484385583,4.888279935,90,left,left,2018_Apr_09_1524,59.9919386074,untitled.py,001,293,
15,0,15,0,None,0.15,1,90,2.68991785269,3.94546485657,90,left,left,2018_Apr_09_1524,59.9919386074,untitled.py,001,293,
