trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.thisTrial,imagename,correct,Difference,touch_delay,lick_delay,orientation,correctstim,last_choice,date,frameRate,expName,session,participant,
0,0,0,0,None,0.38,1,90,6.25761849619,7.66115106805,90,left,left,2018_Apr_11_1526,59.9968656812,untitled.py,001,293,
1,0,1,0,None,0.38,1,90,4.75564464199,11.9155979322,90,left,left,2018_Apr_11_1526,59.9968656812,untitled.py,001,293,
2,0,2,0,None,0.38,0,90,4.57810922898,6.76625129732,90,left,right,2018_Apr_11_1526,59.9968656812,untitled.py,001,293,
3,0,3,0,None,0.38,1,90,4.240921402,5.29958165076,90,left,left,2018_Apr_11_1526,59.9968656812,untitled.py,001,293,
4,0,4,0,None,0.38,0,90,4.14097378298,4.66798769118,90,left,right,2018_Apr_11_1526,59.9968656812,untitled.py,001,293,
5,0,5,0,None,0.38,0,90,1.31623767823,2.43298184546,90,right,left,2018_Apr_11_1526,59.9968656812,untitled.py,001,293,
6,0,6,0,None,0.38,1,90,2.17372012365,3.48081921024,90,left,left,2018_Apr_11_1526,59.9968656812,untitled.py,001,293,
7,0,7,0,None,0.38,1,90,3.62214136153,5.26491774793,90,left,left,2018_Apr_11_1526,59.9968656812,untitled.py,001,293,
8,0,8,0,None,0.38,1,90,6.35324098455,7.86113821727,90,right,right,2018_Apr_11_1526,59.9968656812,untitled.py,001,293,
9,0,9,0,None,0.38,1,90,3.75529767055,5.00414382276,90,right,right,2018_Apr_11_1526,59.9968656812,untitled.py,001,293,
10,0,10,0,None,0.38,1,90,4.24520546605,6.38332748995,90,right,right,2018_Apr_11_1526,59.9968656812,untitled.py,001,293,
11,0,11,0,None,0.38,0,90,4.72463092377,5.54646498372,90,left,right,2018_Apr_11_1526,59.9968656812,untitled.py,001,293,
12,0,12,0,None,0.38,1,90,1.21581932902,2.91767780547,90,left,left,2018_Apr_11_1526,59.9968656812,untitled.py,001,293,
13,0,13,0,None,0.38,1,90,4.54223846883,5.88143101986,90,left,left,2018_Apr_11_1526,59.9968656812,untitled.py,001,293,
14,0,14,0,None,0.38,1,90,3.50456803868,5.12665799703,90,right,right,2018_Apr_11_1526,59.9968656812,untitled.py,001,293,
15,0,15,0,None,0.38,1,90,9.78323502012,11.1791294704,90,left,left,2018_Apr_11_1526,59.9968656812,untitled.py,001,293,
16,0,16,0,None,0.38,1,90,2.51627874491,3.72445268882,90,right,right,2018_Apr_11_1526,59.9968656812,untitled.py,001,293,
17,0,17,0,None,0.38,1,90,5.85487568949,7.0655577734,90,left,left,2018_Apr_11_1526,59.9968656812,untitled.py,001,293,
18,0,18,0,None,0.38,1,90,6.28941276058,9.26114743634,90,left,left,2018_Apr_11_1526,59.9968656812,untitled.py,001,293,
19,0,19,0,None,0.38,1,90,6.57908309571,8.12294719019,90,left,left,2018_Apr_11_1526,59.9968656812,untitled.py,001,293,
20,0,20,0,None,0.38,1,90,5.21794278326,6.65893654083,90,left,left,2018_Apr_11_1526,59.9968656812,untitled.py,001,293,
21,0,21,0,None,0.38,1,90,8.57621541288,10.4199028088,90,right,right,2018_Apr_11_1526,59.9968656812,untitled.py,001,293,
22,0,22,0,None,0.38,1,90,5.43657503958,6.74137634813,90,right,right,2018_Apr_11_1526,59.9968656812,untitled.py,001,293,
23,0,23,0,None,0.38,1,90,6.72665213037,7.80323476862,90,right,right,2018_Apr_11_1526,59.9968656812,untitled.py,001,293,
24,0,24,0,None,0.38,1,90,6.2553355245,7.12281337433,90,right,right,2018_Apr_11_1526,59.9968656812,untitled.py,001,293,
