trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,imagename,correct,Difference,touch_delay,lick_delay,orientation,correctstim,last_choice,date,frameRate,expName,session,participant,
47,0,47,0,0.15,1,90,6.06959236439,7.66419363355,90,right,right,2018_Apr_06_1520,59.8881555282,untitled.py,001,293,
48,0,48,0,0.15,1,90,2.75282054004,4.4447598787,90,right,right,2018_Apr_06_1520,59.8881555282,untitled.py,001,293,
49,0,49,0,0.15,1,90,3.84887353002,5.52492202221,90,right,right,2018_Apr_06_1520,59.8881555282,untitled.py,001,293,
50,0,50,0,0.15,1,90,5.08866825253,6.54751372032,90,left,left,2018_Apr_06_1520,59.8881555282,untitled.py,001,293,
51,0,51,0,0.15,0,90,9.13041098799,10.4301367911,90,left,right,2018_Apr_06_1520,59.8881555282,untitled.py,001,293,
52,0,52,0,0.15,1,90,1.45790819783,3.13764933811,90,left,left,2018_Apr_06_1520,59.8881555282,untitled.py,001,293,
53,0,53,0,0.15,1,90,2.9969512885,4.94939077453,90,left,left,2018_Apr_06_1520,59.8881555282,untitled.py,001,293,
54,0,54,0,0.15,1,90,2.94940027294,4.6654152972,90,left,left,2018_Apr_06_1520,59.8881555282,untitled.py,001,293,
55,0,55,0,0.15,0,90,6.05135680652,8.49174713546,90,left,right,2018_Apr_06_1520,59.8881555282,untitled.py,001,293,
56,0,56,0,0.15,0,90,1.24301440546,4.58776464606,90,right,left,2018_Apr_06_1520,59.8881555282,untitled.py,001,293,
57,0,57,0,0.15,1,90,12.5090194424,14.0432574531,90,right,right,2018_Apr_06_1520,59.8881555282,untitled.py,001,293,
58,0,58,0,0.15,1,90,5.33987587808,6.58479639172,90,right,right,2018_Apr_06_1520,59.8881555282,untitled.py,001,293,
59,0,59,0,0.15,1,90,4.55039090164,5.92504773651,90,right,right,2018_Apr_06_1520,59.8881555282,untitled.py,001,293,
60,0,60,0,0.15,1,90,3.27779787655,4.80470311171,90,right,right,2018_Apr_06_1520,59.8881555282,untitled.py,001,293,
61,0,61,0,0.15,1,90,3.50842048361,4.64380081826,90,right,right,2018_Apr_06_1520,59.8881555282,untitled.py,001,293,
62,0,62,0,0.15,0,90,5.66085354424,10.1515452383,90,left,right,2018_Apr_06_1520,59.8881555282,untitled.py,001,293,
63,0,63,0,0.15,0,90,4.29540514227,7.88529491877,90,right,left,2018_Apr_06_1520,59.8881555282,untitled.py,001,293,
64,0,64,0,0.15,1,90,1.29593006932,3.38092662615,90,left,left,2018_Apr_06_1520,59.8881555282,untitled.py,001,293,
65,0,65,0,0.15,1,90,3.7122620333,5.44168937672,90,left,left,2018_Apr_06_1520,59.8881555282,untitled.py,001,293,
66,0,66,0,0.15,0,90,7.47278550766,10.5102679251,90,left,right,2018_Apr_06_1520,59.8881555282,untitled.py,001,293,
67,0,67,0,0.15,1,90,2.26701885295,3.57917556561,90,left,left,2018_Apr_06_1520,59.8881555282,untitled.py,001,293,
68,0,68,0,0.15,0,90,5.67668684148,10.2691545993,90,left,right,2018_Apr_06_1520,59.8881555282,untitled.py,001,293,
69,0,69,0,0.15,0,90,4.74005858286,10.9093926742,90,left,right,2018_Apr_06_1520,59.8881555282,untitled.py,001,293,
70,0,70,0,0.15,0,90,7.83274103273,8.54880215223,90,left,right,2018_Apr_06_1520,59.8881555282,untitled.py,001,293,
71,0,71,0,0.15,1,90,8.00295568291,9.42120241539,90,left,left,2018_Apr_06_1520,59.8881555282,untitled.py,001,293,
72,0,72,0,0.15,1,90,5.40540487688,7.06421151292,90,right,right,2018_Apr_06_1520,59.8881555282,untitled.py,001,293,
73,0,73,0,0.15,1,90,2.97706384471,5.21356289696,90,left,left,2018_Apr_06_1520,59.8881555282,untitled.py,001,293,
74,0,74,0,0.15,1,90,13.3650977987,15.4501647556,90,left,left,2018_Apr_06_1520,59.8881555282,untitled.py,001,293,
75,0,75,0,0.15,0,90,94.3202099708,98.891514145,90,left,right,2018_Apr_06_1520,59.8881555282,untitled.py,001,293,
76,0,76,0,0.15,0,90,21.8977082283,24.6905380432,90,right,left,2018_Apr_06_1520,59.8881555282,untitled.py,001,293,
77,0,77,0,0.15,0,90,6.5901219289,7.80710928344,90,left,right,2018_Apr_06_1520,59.8881555282,untitled.py,001,293,
78,0,78,0,0.15,0,90,1.65146799384,4.2262234446,90,right,left,2018_Apr_06_1520,59.8881555282,untitled.py,001,293,
79,0,79,0,0.15,0,90,66.9633640588,68.3698777359,90,left,right,2018_Apr_06_1520,59.8881555282,untitled.py,001,293,
80,0,80,0,0.15,1,90,11.9025197337,13.5857579664,90,right,right,2018_Apr_06_1520,59.8881555282,untitled.py,001,293,
81,0,81,0,0.15,1,90,11.2112553411,12.6691780659,90,right,right,2018_Apr_06_1520,59.8881555282,untitled.py,001,293,
82,0,82,0,0.15,1,90,11.9943992882,13.4709296852,90,right,right,2018_Apr_06_1520,59.8881555282,untitled.py,001,293,
83,0,83,0,0.15,1,90,8.11436788754,9.40679388023,90,right,right,2018_Apr_06_1520,59.8881555282,untitled.py,001,293,
84,0,84,0,0.15,1,90,4.72002950096,6.1666245291,90,right,right,2018_Apr_06_1520,59.8881555282,untitled.py,001,293,
85,0,85,0,0.15,0,90,7.00623822301,9.17381343159,90,left,right,2018_Apr_06_1520,59.8881555282,untitled.py,001,293,
86,0,86,0,0.15,1,90,1.83250943905,3.72094945028,90,left,left,2018_Apr_06_1520,59.8881555282,untitled.py,001,293,
87,0,87,0,0.15,1,90,8.08011800382,9.87208402185,90,left,left,2018_Apr_06_1520,59.8881555282,untitled.py,001,293,
88,0,88,0,0.15,0,90,4.25966121393,6.68997204952,90,left,right,2018_Apr_06_1520,59.8881555282,untitled.py,001,293,
89,0,89,0,0.15,0,90,1.21206130947,3.65426667356,90,right,left,2018_Apr_06_1520,59.8881555282,untitled.py,001,293,
90,0,90,0,0.15,0,90,13.8880181699,19.671496517,90,left,right,2018_Apr_06_1520,59.8881555282,untitled.py,001,293,
91,0,91,0,0.15,0,90,2.39516335177,4.824495292,90,right,left,2018_Apr_06_1520,59.8881555282,untitled.py,001,293,
92,0,92,0,0.15,0,90,2.45555594356,6.80865780427,90,left,right,2018_Apr_06_1520,59.8881555282,untitled.py,001,293,
93,0,93,0,0.15,1,90,3.40482435617,5.23942623993,90,left,left,2018_Apr_06_1520,59.8881555282,untitled.py,001,293,
94,0,94,0,0.15,1,90,5.91360829379,9.26989882792,90,left,left,2018_Apr_06_1520,59.8881555282,untitled.py,001,293,
95,0,95,0,0.15,1,90,4.25284358766,6.50467140377,90,left,left,2018_Apr_06_1520,59.8881555282,untitled.py,001,293,
96,0,96,0,0.15,1,90,6.83138611192,10.1308571341,90,left,left,2018_Apr_06_1520,59.8881555282,untitled.py,001,293,
97,0,97,0,0.15,1,90,6.74243318634,9.5515675875,90,left,left,2018_Apr_06_1520,59.8881555282,untitled.py,001,293,
98,0,98,0,0.15,1,90,4.05174707959,6.16759644033,90,right,right,2018_Apr_06_1520,59.8881555282,untitled.py,001,293,
99,0,99,0,0.15,1,90,2.82729033997,4.22183182499,90,right,right,2018_Apr_06_1520,59.8881555282,untitled.py,001,293,
