trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.thisTrial,imagename,correct,Difference,touch_delay,lick_delay,orientation,correctstim,last_choice,date,frameRate,expName,session,participant,
0,0,0,0,None,0.15,1,90,3.61949968501,5.47950423867,90,left,left,2018_Apr_05_1540,59.8875543519,untitled.py,001,293,
1,0,1,0,None,0.15,1,90,5.08670850625,6.80785071847,90,left,left,2018_Apr_05_1540,59.8875543519,untitled.py,001,293,
2,0,2,0,None,0.15,0,90,2.62481069521,4.11160887766,90,left,right,2018_Apr_05_1540,59.8875543519,untitled.py,001,293,
3,0,3,0,None,0.15,1,90,1.44875647602,4.44381758018,90,left,left,2018_Apr_05_1540,59.8875543519,untitled.py,001,293,
4,0,4,0,None,0.15,1,90,1.954754026,3.28093207374,90,right,right,2018_Apr_05_1540,59.8875543519,untitled.py,001,293,
5,0,5,0,None,0.15,0,90,2.17670458116,3.67504082221,90,left,right,2018_Apr_05_1540,59.8875543519,untitled.py,001,293,
6,0,6,0,None,0.15,0,90,1.96327577945,3.92715778123,90,left,right,2018_Apr_05_1540,59.8875543519,untitled.py,001,293,
7,0,7,0,None,0.15,1,90,2.6662408211,4.4048497784,90,left,left,2018_Apr_05_1540,59.8875543519,untitled.py,001,293,
8,0,8,0,None,0.15,1,90,2.57912947037,4.34493406283,90,right,right,2018_Apr_05_1540,59.8875543519,untitled.py,001,293,
9,0,9,0,None,0.15,1,90,3.31899193893,4.64641483765,90,right,right,2018_Apr_05_1540,59.8875543519,untitled.py,001,293,
10,0,10,0,None,0.15,1,90,2.69172394817,4.02760546384,90,right,right,2018_Apr_05_1540,59.8875543519,untitled.py,001,293,
11,0,11,0,None,0.15,1,90,1.74565370739,4.12649065733,90,right,right,2018_Apr_05_1540,59.8875543519,untitled.py,001,293,
12,0,12,0,None,0.15,0,90,4.95102589854,6.25399401321,90,left,right,2018_Apr_05_1540,59.8875543519,untitled.py,001,293,
13,0,13,0,None,0.15,0,90,3.19311448801,4.68925212562,90,left,right,2018_Apr_05_1540,59.8875543519,untitled.py,001,293,
14,0,14,0,None,0.15,1,90,1.28953037329,9.18691984596,90,left,left,2018_Apr_05_1540,59.8875543519,untitled.py,001,293,
15,0,15,0,None,0.15,0,90,5.68872244935,7.69107386554,90,left,right,2018_Apr_05_1540,59.8875543519,untitled.py,001,293,
16,0,16,0,None,0.15,1,90,1.38239915969,2.82372675856,90,left,left,2018_Apr_05_1540,59.8875543519,untitled.py,001,293,
17,0,17,0,None,0.15,1,90,4.06140026177,6.12782267018,90,left,left,2018_Apr_05_1540,59.8875543519,untitled.py,001,293,
18,0,18,0,None,0.15,0,90,4.26093232518,5.15055907943,90,left,right,2018_Apr_05_1540,59.8875543519,untitled.py,001,293,
19,0,19,0,None,0.15,1,90,2.0364336808,3.98416726149,90,left,left,2018_Apr_05_1540,59.8875543519,untitled.py,001,293,
20,0,20,0,None,0.15,1,90,3.14084164327,4.16608982426,90,left,left,2018_Apr_05_1540,59.8875543519,untitled.py,001,293,
21,0,21,0,None,0.15,1,90,3.55989797585,5.00885950588,90,left,left,2018_Apr_05_1540,59.8875543519,untitled.py,001,293,
22,0,22,0,None,0.15,0,90,2.41103715694,3.95198691453,90,left,right,2018_Apr_05_1540,59.8875543519,untitled.py,001,293,
